id,oppose_explanation
144,"Voting against this bill means you might worry about extra regulation and costs for arbitration and mediation providers. Some may argue these services are already fair, or that new equality rules could limit how these private dispute-resolution services operate."
147,"Voting against this bill might mean you think it adds unnecessary rules to private dispute-settling services or creates extra costs for businesses. Some might argue that arbitration and mediation should operate differently from courts, or that existing protections are already sufficient."
148,Voting against this bill means you believe arm's-length bodies should keep their independence and that too much parliamentary control could interfere with their work. Opponents might worry that increased oversight could slow down decision-making or prevent these organizations from operating freely.
149,"[""- Politicizes independent institutions: Giving ministers broad review powers over bodies designed to operate independently risks turning regulators and oversight bodies into political tools, undermining their impartiality in areas like environmental protection or consumer safety."",""- Threatens institutional expertise: Abolishing or restructuring established bodies may destroy specialized knowledge, technical capacity, and institutional memory that took years to develop and serve important public functions."",""- Creates regulatory uncertainty: Organizations threatened with closure or merger may become risk-averse and less effective, and businesses may face inconsistent regulation if bodies are repeatedly restructured."",""- Lacks safeguards against political abuse: The bill provides limited protections to prevent ministers from dismantling bodies they dislike for partisan reasons rather than genuine inefficiency, particularly those responsible for holding government accountable.""]"
150,"- Restricts executive flexibility in genuine emergencies by imposing parliamentary procedure requirements that could delay military response to immediate threats to national security or humanitarian crises
- Creates legal uncertainty by establishing rigid parliamentary procedures that may be challenged in courts, potentially paralyzing government decision-making during critical security situations
- Undermines diplomatic effectiveness by publicly signalling parliamentary debate and delay before military action, removing deterrence value and tipping off adversaries about UK intentions
- Places excessive burden on MPs to scrutinise complex military and intelligence matters, risking that partisan politics rather than strategic necessity determines votes on armed conflict"
154,"[""- May expand executive powers allowing the Secretary of State for Defence to make decisions affecting service personnel with limited parliamentary scrutiny or oversight mechanisms"",""- Could introduce controversial changes to military justice systems or discipline procedures that some argue don't provide adequate fairness protections or appeal rights for service members"",""- May reduce restrictions on military recruitment practices or deployment capabilities in ways critics argue lack sufficient democratic debate or public consultation"",""- Could impose additional burdens on NHS and local services supporting veterans without adequate funding, shifting costs away from dedicated military healthcare budgets""]"
155,"[""- Reduces operational flexibility and speed of response, potentially compromising military effectiveness if commanders must wait for parliamentary votes before responding to urgent threats"",""- May create security risks by requiring advance public announcement and debate of military deployments, which could give adversaries warning and tactical advantage"",""- Could paralyse decision-making during genuine emergencies if Parliament cannot be recalled quickly enough or if votes are split, leaving forces unable to respond to crises"",""- Places complex military and strategic decisions in the hands of politicians rather than military and intelligence experts who may lack operational understanding of threats and timelines""]"
163,"Voting against this bill means you have concerns that pardoning soldiers changes historical military justice decisions without proper investigation. Opponents might worry this disrespects the original courts-martial that convicted them, or that it's unfair to those not included."
172,"[""- Creates additional bureaucratic layers and costs to the Ministry of Defence budget during a period of constrained military spending, potentially diverting resources from operational capability or personnel welfare spending"",""- May undermine military command structures and discipline by allowing personnel to bypass their chain of command, potentially weakening internal resolution of issues and creating divided loyalty"",""- Could delay resolution of complaints through a new formal process rather than internal, faster informal mechanisms already available to service personnel"",""- Risks creating an adversarial relationship between the Commissioner and the Ministry of Defence, potentially leading to defensive postures rather than collaborative improvements to service conditions""]"
173,"[""- May create additional administrative burden and costs for government departments already managing these schemes, diverting resources from actually processing claims and supporting veterans"",""- Reporting requirements alone don't guarantee improvements; without enforcement mechanisms or mandatory action following reports, the bill risks being performative rather than delivering real change"",""- Could delay urgent support to injured service members if reporting obligations distract from frontline delivery of compensation and support services"",""- Might expose sensitive information about scheme performance or individual cases in public reports, potentially compromising privacy or revealing operational weaknesses to external actors""]"
176,"Voting against this bill means you believe the current system works well enough, or that giving Parliament more control could slow down urgent military decisions. Critics might argue that in emergencies, the country needs quick decision-making, and requiring Parliament to vote could cause dangerous delays."
188,"[""- May damage UK defence industry competitiveness and jobs by creating additional bureaucratic hurdles and uncertainty for arms manufacturers, potentially pushing contracts to countries with fewer restrictions"",""- Could weaken diplomatic relationships with allied nations if sales are suspended based on inquiry findings, limiting the government's flexibility in foreign policy and strategic partnerships"",""- Establishes an inquiry process without clearly defining who conducts investigations, what evidence threshold triggers suspension, or how long suspensions last, creating potential legal uncertainty and inconsistent application"",""- Restricts the government's ability to make context-sensitive foreign policy decisions by substituting inquiry-based rules for ministerial judgment about broader strategic, diplomatic, and security considerations""]"
189,"[""- May reduce operational independence: Increased parliamentary scrutiny could pressure arm's-length bodies to prioritise political considerations over expert judgment, undermining the original reason these organisations were created as independent entities."",""- Creates administrative burden: Frequent reporting requirements divert resources from frontline services into bureaucratic compliance, potentially increasing costs without improving actual service delivery or outcomes."",""- Could lead to inconsistent decision-making: If arm's-length bodies become overly cautious to avoid parliamentary criticism, they may make slower, more risk-averse decisions that hamper innovation and efficiency in public services."",""- Blurs the separation of powers: Direct parliamentary intervention in operational decisions of these bodies may conflate parliamentary scrutiny with day-to-day management, creating accountability confusion and political interference in technical decisions.""]"
192,"[""- Creates compliance burdens and compliance costs that disproportionately affect smaller UK startups and innovative companies, potentially driving AI development to less-regulated countries or to better-funded US and Chinese competitors"",""- Risks stifling innovation through overly prescriptive rules written before the technology matures; regulators may lack sufficient technical expertise to set appropriate standards, or rules may quickly become outdated"",""- Imposes regulatory powers and vague concepts like 'high-risk' that could be applied inconsistently, creating legal uncertainty and potential for regulators to overreach beyond their technical competence"",""- May duplicate or conflict with existing EU AI Act regulations if the UK seeks closer alignment, or create friction with international trade partners, without clear evidence that additional UK-specific regulation delivers proportionate benefits""]"
197,"Voting against this bill means you think these checks aren't necessary or would slow down decision-making. Opponents might worry it adds extra bureaucracy, costs money, or that governments already consider families when making policies without needing a formal requirement to do so."
201,"- Restricts landowners' property rights by limiting their freedom to sell assets quickly at market value, potentially reducing the financial return on their investment
- May discourage private investment in sports facility maintenance and improvement if owners cannot realise the full value of their assets or face delays in selling
- Creates administrative burden and delays for facility owners seeking to sell, as they must navigate community bid periods and potentially deal with competing offers
- Could lead to poorly-managed community ownership if local groups lack the expertise, funding, or governance structures to operate complex sports facilities sustainably"
208,"A vote against this bill means you have concerns about legalising assisted dying. Opponents worry about vulnerable people feeling pressured, the impact on disabled people, risks to the doctor-patient relationship, or believe only natural death is acceptable."
210,"- Creates risks to vulnerable people (elderly, disabled, those with mental health conditions, or experiencing social isolation) who might feel pressured to end their lives due to loneliness, financial stress, or inadequate care rather than genuine autonomous choice
- Fundamentally changes the doctor-patient relationship and the medical profession's role, as prescribing lethal medication contradicts the traditional principle of 'do no harm'
- Safeguards may prove inadequate in practice; once legislation exists, there is pressure to expand eligibility criteria (as seen in other countries), potentially extending access beyond terminal illness
- Raises concerns about diagnostic accuracy (especially within six months) and whether psychological assessments can truly distinguish autonomous choice from depression or temporary despair in seriously ill patients"
218,"A vote against this bill might mean you're concerned it could make it easier to evict vulnerable people, or that it doesn't protect asylum seekers enough. Critics might worry it prioritizes cost-cutting over ensuring people have safe places to live while their asylum claim is being decided."
231,"- Risk of inadequate support: If the prescribed period is too short, asylum seekers could lose support before their claims are decided, potentially pushing vulnerable people into homelessness and destitution
- Creates perverse incentives: A time limit may pressure people to accept unfavorable asylum decisions simply to maintain access to support, undermining fair assessment of claims
- Disproportionate impact on vulnerable groups: Asylum seekers are often fleeing trauma and persecution; arbitrary time limits don't account for complex cases requiring extended investigation
- Shifts costs elsewhere: If government support ends, local councils and charities must fill the gap, transferring costs rather than solving the underlying issue of claim processing delays"
236,"Some people worry the Act doesn't go far enough to protect pedestrians from self-driving cars, or that it unfairly blames insurance companies instead of the manufacturers who designed the vehicles. Others think it might slow down the development of new vehicle technology in the UK."
241,"Voting against this bill means you think facial recognition technology is useful and shouldn't be stopped. Critics might argue that a pause would delay important crime-fighting tools, or that we should improve the rules instead of stopping it completely."
243,"Critics worry about safety if self-driving cars malfunction or get hacked. Others are concerned about job losses for taxi and lorry drivers, and who is responsible if an automated vehicle causes an accident."
249,"Voting against this bill means you have concerns about automatically registering young people without their active choice or their parents' involvement. People might worry about data privacy, whether 16-year-olds are ready to vote, or whether the government should require active registration rather than doing it automatically."
251,"[""- Eliminates thousands of maritime jobs (ship crew, pilots, tugboat operators) across UK ports and coastal communities without guaranteed retraining or alternative employment support"",""- Creates liability gaps: unclear who is legally responsible (the company, the AI developer, or the ship owner) if an autonomous vessel causes environmental damage, collision, or loss of life"",""- Undermines port security and national resilience by removing trained human crew who can respond to piracy, stowaways, smuggling, or sabotage of critical infrastructure at sea"",""- May disadvantage smaller UK shipping companies and fishing fleets that cannot afford expensive autonomous technology, allowing only large corporations to benefit while smaller operators fail""]"
253,"[""- Airlines and airports face significant upfront capital costs to retrofit terminals, aircraft, and systems to meet accessibility standards, potentially increasing ticket prices for all passengers"",""- Smaller regional airports may struggle disproportionately with compliance costs, potentially leading to reduced services or route closures in less profitable areas"",""- Prescriptive legal requirements may be rigid and not account for evolving technology or regional differences, creating bureaucratic inefficiency rather than proportionate solutions"",""- Compliance monitoring and enforcement creates administrative burden on operators and may result in resources being diverted from other safety or service improvements""]"
258,"[""- Implementing new standardised guidance across multiple NHS trusts and private healthcare providers would require significant funding and staff retraining, diverting resources from other children's health priorities"",""- Mandatory guidance might oversimplify complex allergy cases where individual infants have unique circumstances, potentially reducing personalised medical care from GPs and paediatricians"",""- Creating another layer of statutory guidance could increase bureaucracy and compliance costs for healthcare providers without evidence that fragmented current advice is causing measurable harm"",""- The bill's scope and enforcement mechanisms are unclear, it's uncertain whether guidance would be legally binding or merely advisory, potentially making implementation inconsistent regardless""]"
262,"[""- May slow down enforcement of legitimate court orders, delaying landlords' or lenders' ability to regain possession of their own properties after winning cases in court"",""- Could increase costs for bailiff companies through additional compliance requirements, potentially raising fees that are passed to creditors or making enforcement economically unviable for smaller cases"",""- Might create loopholes or procedural requirements that allow occupants to obstruct enforcement through technical legal arguments, even when court orders are final and just"",""- Could place bailiffs in difficult positions if required to make subjective judgments about vulnerability or circumstances, creating inconsistency and potential liability if decisions are later challenged""]"
269,"[""- Undermines the Bank of England's operational independence, which has been credited with keeping inflation lower and more stable since the 1990s"",""- Risks making monetary policy subject to short-term political pressures and electoral cycles rather than long-term economic stability"",""- Could reduce business and investor confidence by introducing uncertainty about whether inflation targets will change based on political circumstances"",""- May harm the Bank's credibility in controlling inflation, as markets and wage-setters may doubt the commitment to price stability if targets become politically negotiable""]"
272,"- Creates moral hazard: Banks may take excessive risks knowing the government will bail them out through recapitalisation, reducing incentives for prudent management and shifting risk from financial institutions onto taxpayers
- Lack of democratic scrutiny: Powers to recapitalise banks may be exercised by regulators during crises with limited parliamentary oversight, allowing major public expenditure decisions to occur without full democratic accountability
- Uncertain costs to taxpayers: The act provides a mechanism for injecting public funds but doesn't guarantee full recovery of those investments, potentially creating substantial, unquantified liabilities for the public purse with unclear long-term fiscal consequences
- Unfair burden-sharing: While shareholders and creditors may face losses, ordinary taxpayers effectively subsidise financial institutions that failed to manage their own risk, creating inequity when other sectors and individuals receive no equivalent state support"
285,"- Imposes additional regulatory compliance costs on banks, which may be passed to consumers through higher fees for other banking services. - Could require banks to serve customers they perceive as high-risk or unprofitable, potentially forcing them to maintain loss-making services or increase capital reserves. - May limit banks' legitimate ability to refuse service to customers involved in financial crime, money laundering, or fraud by imposing burdensome appeals processes. - Could be undermined by technological and market changes, as the shift to digital banking and fintech alternatives may make traditional bank branch requirements less relevant and costlier to enforce."
289,"Voting against this bill means you think homeowners should keep the freedom to excavate basements without extra bureaucracy and delays. Opponents worry this will make home improvements more expensive and time-consuming, and give councils too much control over what people do with their own property."
299,"- Creates additional regulatory costs and compliance burdens for renewable energy companies during a period when the UK is trying to incentivize rapid decarbonization and investment in green infrastructure - May reduce the economic viability of battery storage projects, particularly smaller operations, potentially slowing deployment of storage capacity needed to balance renewable energy on the grid - Prescriptive safety requirements could become outdated as battery technology evolves, locking in standards that may prove overly restrictive compared to newer, safer alternatives - May unfairly advantage larger operators who can absorb compliance costs, creating barriers to entry for smaller competitors and reducing market competition in the energy storage sector"
305,"Voting against this bill means you have concerns about the licence fee system - for example, you might think it's unfair that everyone has to pay, or that the BBC shouldn't be funded this way. People opposing it might want the BBC funded differently or have other objections to the proposals."
312,"Voting against this bill means you believe over-75s should follow the same rules as everyone else regarding licence fees. Opponents worry it's unfair to other age groups, could reduce BBC funding, or sets a difficult precedent for other laws."
313,"Voting to oppose this bill means you want to keep the current rules where everyone, including over-75s, must pay the licence fee or face legal consequences. Opponents might worry this creates unfairness for younger people who have to pay, or that it reduces funding for the BBC."
314,"[""- Creates unfair exemption where over-75s pay no criminal penalty while younger citizens face prosecution for identical non-payment, undermining equal application of law"",""- Reduces enforcement effectiveness and licence fee revenue, ultimately funded by other licence payers, effectively subsidising one age group at others' expense"",""- The current system already allows flexible payment plans and has exemptions for eligible low-income households; decriminalisation may be unnecessary given existing protections"",""- May set precedent for other age groups or demographics to claim exemption from criminal liability, weakening general legal enforcement and creating special legal status based on age""]"
317,"A vote against this bill means you want to keep the BBC as a publicly-owned service funded by TV licence fees. Opponents worry that privatisation could lead to job losses, fewer programmes for rural areas, higher costs for viewers, or less focus on educational and cultural content that doesn't make much profit."
326,"Voting against this bill means you're concerned it could unfairly deny help to vulnerable people who genuinely need support. Opponents worry the restrictions could harm low-income families, disabled people, or those temporarily out of work who depend on these payments to survive."
337,"[""- Creates additional funding obligations for schools and NHS trusts during periods of public sector budget constraints, potentially diverting resources from other essential services"",""- May burden teachers and school staff with expanded pastoral and bereavement responsibilities without sufficient additional training or dedicated staffing, affecting their ability to teach"",""- Could establish state involvement in what some argue is primarily a family and community responsibility, potentially shifting expectations away from informal support networks"",""- Risks creating bureaucratic referral processes and one-size-fits-all approaches that may not suit all children's individual circumstances, family beliefs, or cultural practices around grief""]"
343,"Voting to oppose this bill means you have concerns about allowing Welsh in jury trials. People might worry about extra costs, delays in trials, the need for Welsh-speaking judges and translators, or whether it could create confusion if not all court staff speak Welsh."
345,"[""- May impose constraints on UK fishing industry operations in international waters through marine protected areas or environmental restrictions, potentially increasing costs for British fishing vessels and reducing access to profitable fishing grounds"",""- Surrenders some UK decision-making autonomy by binding the country to international governance bodies and enforcement mechanisms that the UK cannot unilaterally control or exit from easily"",""- Requires government spending on compliance, monitoring, and enforcement mechanisms with uncertain long-term costs, while benefits from marine genetic resource-sharing remain speculative and long-term"",""- Creates regulatory complexity and potential conflicts between UK domestic ocean policy and international obligations, with enforcement against other nations' violations uncertain and reliant on international cooperation""]"
348,"A vote against this bill means you believe the Church should maintain its current practices regarding bishops, or you think this decision should be made by the Church itself rather than Parliament. Opponents might have religious or traditional concerns about changing long-established Church practices."
350,"Voting to oppose this bill means you want to keep current donation restrictions in place. Concerns might include worries about blood safety, whether the NHS has the right testing systems in place, or disagreement about changing long-standing rules without enough evidence."
355,"- Raises human rights concerns, particularly regarding offshore asylum processing, which may breach international obligations to provide fair hearings and could place vulnerable people in unsuitable conditions far from legal support
- Increases costs significantly through offshore processing infrastructure and detention facilities, potentially costing more than the current system while being less transparent and harder to scrutinise
- Reduces legal routes for asylum seekers, pushing desperate people toward dangerous irregular migration and people smuggling rather than safe, documented pathways to claim protection
- Creates practical problems with deportations, as many countries refuse to accept their nationals back, meaning the bill's enforcement powers may prove ineffective while still restricting asylum access"
356,"[""- Increases barriers to family reunification by making it harder for UK residents to bring spouses, partners and children into the country, separating families and placing emotional and financial strain on relationships"",""- Discriminates against lower-skilled workers and developing nations by prioritising only high-earning professionals, reducing opportunities for nurses, care workers, agricultural workers and other essential but lower-paid roles"",""- Raises citizenship requirements unfairly by requiring longer residency periods (12 years for some) and expensive tests, making it harder for established residents to become British citizens and participate fully in society"",""- Grants excessive enforcement powers to border agencies with limited parliamentary oversight, risking arbitrary decisions, invasive data collection, and potential misuse of biometric information without adequate safeguards or transparency""]"
366,"- A formal review could delay implementation of screening improvements while evidence is gathered and analysed, potentially leaving women without needed changes during the review period
- Mandatory reviews create administrative burden and costs for NHS bodies, diverting resources from frontline screening services and clinical staff to review processes
- Frequent changes to screening guidance (age ranges, frequency) based on reviews may confuse women about whether they should participate, potentially reducing screening uptake rates
- The review's scope could be used to justify restricting or narrowing the screening programme if cost-cutting is prioritised, potentially reducing access to screening rather than improving it"
375,"A vote to oppose this bill means voting to keep the BBC in public ownership. Opponents worry that privatisation could lead to higher costs for viewers, loss of quality programming, reduced coverage of less profitable areas, and that profit-focused owners might cut services."
376,"Voting against this bill means you want the BBC to remain publicly-owned and funded by the TV licence fee. Opponents worry that privatisation could lead to higher costs for viewers, loss of public service programming (like educational content), and that profit-driven companies might focus only on popular shows rather than serving all audiences fairly."
378,"[""- Threatens universal access to news and programming, as a private company would likely cut services that serve niche audiences or rural areas that aren't commercially profitable, undermining public service broadcasting"",""- Could lead to increased advertising and subscription costs for viewers, meaning access to BBC content becomes based on ability to pay rather than citizenship, disadvantaging lower-income households"",""- Eliminates the BBC's obligation to produce educational, cultural, and regional content that serves the public rather than shareholders, potentially reducing programming diversity and quality in favour of commercial ratings"",""- Risks losing the BBC's independence: private ownership could mean control by wealthy individuals or commercial interests with their own agendas, while privatisation doesn't guarantee freedom from political interference""]"
381,"Voting against this bill means you have concerns about prioritising British goods in public sector purchases. Critics worry this could mean paying more for lower-quality products, break international trade rules, harm UK relationships with other countries, or make public services less efficient and more expensive."
383,"[""- May be seen as entrenching colonial-era territorial claims against the preferences of Mauritius and international opinion, potentially damaging diplomatic relationships in the Indian Ocean region"",""- Risks being perceived as prioritising strategic military interests over the rights and welfare of the indigenous Chagotian population to return to their homeland"",""- Could face legal challenges at international courts, where the territory's status remains disputed, resulting in costly litigation and uncertain outcomes"",""- May inadequately address historical injustices of forced displacement or fail to provide meaningful compensation and return mechanisms for Chagotians, perpetuating past wrongs""]"
389,"Voting to oppose means you believe these territories should keep their independence and make their own decisions without more interference from Parliament. People might worry that giving Parliament more power could ignore what local people actually want, or damage the territories' economies and self-governance."
392,"[""- May increase construction costs for developers and homebuyers if domestic brick prices are higher than imports, making housing and building projects more expensive"",""- Could trigger retaliatory trade measures from other countries against UK goods, damaging export industries and international trade relationships"",""- Limits consumer and builder choice by restricting access to specialist brick types or quality products that may only be cost-effectively available from abroad"",""- Diverts government spending and resources toward supporting one industry, potentially crowding out investment in other sectors or alternative building materials that may be more sustainable or cost-effective""]"
395,"Voting against this bill means you're concerned about restricting how sports organizations can sell their broadcasting rights. Opponents worry that protecting free-to-air coverage could reduce the money sports receive, harm investment in the sport, or limit consumer choice about how people watch events."
406,"[""- Reduces government flexibility in responding to emergencies or economic crises by imposing rigid fiscal rules that may prevent necessary spending when circumstances change rapidly"",""- Shifts decision-making power away from elected politicians toward unelected fiscal bodies, potentially constraining democratic choices about public investment in healthcare, education, or infrastructure"",""- May result in pressure for public service cuts or tax increases during economic downturns, when countercyclical spending could actually support the economy and prevent deeper recessions"",""- Creates additional bureaucratic reporting requirements and administrative costs without guaranteeing better economic outcomes, particularly if fiscal rules prove too inflexible for a changing economy""]"
411,"[""- Increases upfront construction costs for developers and builders, which may be passed to homebuyers and renters, making housing less affordable in an already tight market"",""- Creates bureaucratic compliance burdens and delays in building projects through additional inspections, paperwork, and regulatory approval processes that slow housing delivery"",""- May impose disproportionate costs on small builders and renovation contractors who lack resources to adapt to new standards, potentially reducing competition and market diversity"",""- Could be seen as excessive government intervention in private property development, restricting business flexibility and innovation in construction methods and design choices""]"
413,"- Safety concerns: Rushing approval processes or using simplified regulations may compromise thorough safety inspections, potentially allowing substandard construction or overlooking fire safety and structural integrity issues. - Reduces local control: Streamlined national regulations could override local planning concerns, allowing developments that communities object to and weakening council oversight of their areas. - Quality degradation: Pressure to build quickly with prefabricated materials might prioritise speed over quality, leading to poor-quality housing stock that becomes costly to maintain or repair long-term. - Environmental impact: Fast-track approvals could bypass proper environmental assessments, leading to overdevelopment, loss of green spaces, and inadequate infrastructure planning in local communities."
