id,plain_summary
124,"This bill aims to create rules for 'anti-loitering devices', gadgets that emit sounds or signals designed to discourage young people from gathering in certain areas. The bill would regulate how, where, and when these devices can be used to balance public safety concerns with protecting people's rights and wellbeing."
125,"The Anti-Slavery Day Act 2010 establishes a national day (18 October) dedicated to raising awareness about slavery and human trafficking. It encourages people and organizations to think about modern slavery and take steps to prevent it, helping to protect people who are exploited or forced to work."
126,"This Act gives police and councils stronger powers to deal with anti-social behaviour, things like loud parties, harassment, or aggressive behaviour in public spaces. It lets authorities issue quick orders to stop problem behaviour and includes stricter punishments, but it also removes some traditional legal protections that people usually have."
127,"This bill aims to acknowledge that many people feel serious anxiety and worry about environmental issues, and proposes that the government should do something about it. It's essentially asking Parliament to recognize 'eco-anxiety' as an important problem and take steps to address the concerns behind it."
134,"This Act is designed to reform apprenticeships, making them more available and high-quality for people wanting to learn trades and skills. It also aims to improve how children are taught in schools and ensure young people leave education better prepared for work."
136,"This Act gives the government official permission to spend money from the public budget on various government services and departments for that year. It's essentially Parliament saying 'yes, the government can now pay for these things' - without it, the government couldn't legally spend taxpayers' money."
141,"The Arbitration Act 2025 updates UK law to modernise how disputes between businesses and individuals are resolved outside of courts through arbitration. The Act streamlines arbitration procedures, clarifies the powers of arbitrators, and establishes new rules for managing complex commercial disputes more efficiently. It aims to make arbitration faster and more cost-effective than traditional court proceedings while maintaining fairness and due process. The legislation reflects international best practices and positions the UK as a competitive centre for international dispute resolution."
144,"This bill extends equality laws to arbitration and mediation services. Currently, these private dispute-settling services aren't fully covered by equality legislation, so this bill would make them follow the same non-discrimination rules as shops, employers, and other businesses."
145,"This bill aims to make sure that private arbitration and mediation services (which help people and businesses settle disagreements without going to court) cannot discriminate against people and must treat everyone fairly. Currently, there's uncertainty about whether equality laws fully apply to these services, so the bill would make it clear they must follow the same non-discrimination rules as other businesses."
146,"This bill aims to ensure that private arbitration and mediation services follow the same equality and non-discrimination laws that apply to other UK businesses. Currently, these dispute-resolution services may not be fully covered by equality laws, so this bill would close that gap and protect people from unfair treatment."
147,"This bill ensures that private arbitration and mediation services (alternatives to going to court to resolve disagreements) must follow UK equality laws. Currently, these services may not be covered by the same anti-discrimination protections that apply to courts, so this bill aims to close that gap and protect people from unfair treatment based on their personal characteristics."
148,"This bill aims to give Parliament more power to hold arm's-length bodies accountable. These are public organizations like health agencies or cultural institutions that operate semi-independently from government, the bill would strengthen Parliament's ability to question them and ensure they're answering to elected representatives."
149,"The Arm's-Length Bodies (Review) Bill establishes a formal process for the government to review and potentially restructure or abolish public bodies that operate independently from direct ministerial control, such as quangos, regulators, and executive agencies. The bill gives ministers powers to examine whether these bodies remain necessary, efficient, and aligned with government objectives, potentially consolidating or eliminating duplicative organizations. It aims to reduce bureaucratic complexity and redirect public funding more effectively, though it also centralizes control over institutions designed to operate at arm's length from political influence."
150,"The Armed Conflict (Requirements) Bill establishes formal parliamentary requirements that must be met before the UK can engage in armed military action abroad. The bill seeks to place legal obligations on the government to seek parliamentary approval before committing armed forces to conflict, with limited exceptions for emergency self-defence. This would codify into law what has been largely a political convention since the 2003 Iraq War vote. The legislation aims to strengthen parliamentary scrutiny and democratic accountability over decisions to deploy military force."
159,"This Act gives members of the armed forces (army, navy, air force) the legal right to request flexible working arrangements, such as part-time hours or adjusted schedules. It brings military personnel in line with civilian workers' rights to balance work and personal life, though requests can still be refused if they would harm military operations."
166,This bill aims to prevent discrimination in the UK Armed Forces by making anti-discrimination laws clearer and more comprehensive. It would ensure that all service members are treated fairly and have proper legal recourse if they face unfair treatment because of who they are.
170,This bill updates the laws that control the Volunteer Reserve - people who serve part-time in the British Armed Forces alongside their regular jobs. It aims to modernize how these reservists work and are supported by the military.
180,"This bill asks the UK Parliament to officially declare that the deaths of Armenians between 1915-1923, when the Ottoman Empire controlled the region, was genocide, meaning it was deliberately planned mass killing of a particular group of people. Currently, the UK has not made an official statement on this, though many countries including France and Germany have."
182,"This bill asks the UK Parliament to officially recognise and acknowledge that the mass killing of around 1.5 million Armenian people between 1915-1923 was genocide. Currently, the UK government hasn't made an official statement on this, though many other countries and historians say it was genocide. The bill would change this by making Parliament's position clear."
188,"This bill establishes a formal inquiry mechanism into UK arms exports and creates powers to suspend arms sales to specific countries. It would require the government to investigate whether exported weapons are being used in violation of international humanitarian law or human rights conventions. If the inquiry finds evidence of misuse, the government would gain statutory authority to temporarily halt arms sales to the affected country without requiring new parliamentary legislation each time. The bill aims to provide a faster, more systematic process for reviewing arms sales rather than relying on ad-hoc political decisions."
189,"This bill aims to increase parliamentary oversight of arm's-length bodies, organisations like NHS trusts, public agencies, and quangos that operate independently but are funded by or accountable to government departments. The bill would require these bodies to provide regular reports to Parliament, establish clearer accountability mechanisms, and give MPs greater powers to scrutinise their decisions and spending. The measures seek to close gaps where public money is spent by organisations that currently have limited direct accountability to elected representatives."
192,"The Artificial Intelligence (Regulation) Bill establishes a regulatory framework for AI systems used in the UK, requiring developers and deployers to assess and manage risks before releasing AI into the market. The bill creates oversight mechanisms to ensure high-risk AI applications, such as those used in recruitment, law enforcement, or critical infrastructure, meet safety and transparency standards. It grants regulators powers to investigate breaches, issue fines, and require companies to modify or withdraw harmful AI systems. The legislation aims to balance innovation with public protection by setting binding requirements rather than purely voluntary guidelines."
197,"This bill would require the government to regularly assess and report on how its policies impact families - such as laws about taxes, benefits, education, or health. It's designed to make sure politicians think carefully about family life before creating new policies, and to be transparent about the effects these policies will have."
210,"This bill would allow terminally ill adults in England and Wales to request medical assistance to end their life. To qualify, a person must be diagnosed with a condition expected to cause death within six months, be mentally competent to make the decision, and go through a formal process involving two doctors' assessments and a court application. If approved, a doctor could then prescribe medication that the person self-administers. The bill creates strict safeguards including waiting periods and multiple medical checks to prevent coercion or hasty decisions."
236,"This Act sets out the legal rules for electric vehicles and self-driving cars in the UK. It clarifies who is responsible when these vehicles cause accidents (usually the insurer), defines what counts as an 'automated vehicle,' and makes sure people injured by these cars can claim compensation fairly."
239,This bill aims to make it a requirement (or at least strongly encourage) councils and public organisations to install Automated External Defibrillators in accessible public places. The goal is to have these life-saving machines readily available so that anyone can use them to help someone experiencing sudden cardiac arrest while waiting for emergency services to arrive.
243,"This Act creates rules and safety standards for self-driving vehicles in the UK. It allows companies to test and use cars that can drive themselves without a human controlling them, while setting up a legal framework for who is responsible if something goes wrong."
252,"This bill proposes to change the autumn bank holiday - the day in late August/early September when most UK workers get a day off. The exact change isn't clear from the title alone, but it would alter when this holiday is celebrated or how it works."
253,"The Aviation (Accessibility) Bill aims to improve access to air travel for disabled passengers and those with mobility challenges. It sets enforceable standards for UK airports and airlines regarding facilities, assistance, and services, such as wheelchair accessibility, trained staff support, and accessible toilets and seating. The bill creates legal obligations for aviation operators to meet these standards and establishes mechanisms for complaints and enforcement. This legislation ensures disabled travellers have comparable experiences to non-disabled passengers when using UK airports and flights."
285,"This bill aims to combat financial exclusion by requiring banks to maintain basic banking services for all customers and preventing arbitrary account closures. It establishes minimum standards for access to essential banking facilities such as current accounts, payment services, and cash withdrawal options, particularly for vulnerable groups. The bill also creates obligations for banks to provide transparent reasons when refusing or terminating customer relationships, and establishes an appeals process. These measures seek to address the growing problem of people being locked out of the financial system, which can lead to reliance on high-cost lending and exclusion from employment and services."
286,"This bill proposes replacing the Barnett Formula, a 40-year-old method that calculates how much government funding Scotland, Wales, and Northern Ireland receive based on England's spending. The bill would create a new way to distribute money that the supporters believe would be more fair and up-to-date."
287,"This bill proposes replacing the Barnett Formula, a 40-year-old system that allocates government funding to Scotland, Wales, and Northern Ireland, with a new method. The bill aims to create a fairer way of distributing UK government money between different parts of the country based on their actual needs."
299,"This bill establishes mandatory fire safety standards and regulations for Battery Energy Storage Systems (BESS) - large-scale installations that store electrical energy in batteries, increasingly used to support the UK's renewable energy transition. The legislation requires operators to implement specific safety measures, fire detection and suppression systems, and maintain minimum distances from residential areas and critical infrastructure. It aims to prevent incidents like the Kilroot battery storage fire in Northern Ireland (2023) and similar events that have caused environmental damage and safety risks. The bill creates enforcement mechanisms and penalties for non-compliance with these safety requirements."
306,"This bill proposes to abolish the BBC licence fee - the annual charge that UK households currently pay to watch or record live TV on any channel, or to use BBC iPlayer. The money from these fees currently pays for BBC services like television, radio, and online content. The bill would end this system entirely."
310,"This bill would allow the BBC to issue financial penalties directly to people who refuse to pay their TV licence fee, without having to take them to criminal court. Currently, the BBC can only prosecute non-payers through the legal system; this would give them a faster, simpler way to enforce payment."
311,"This bill would change the law so that people aged 75 and over cannot be prosecuted criminally (taken to court as a crime) if they don't pay their BBC licence fee. Currently, anyone who doesn't pay can face criminal charges; this bill would remove that punishment for over-75s only, though they could still receive a fine instead."
312,"This bill would stop over-75s from being prosecuted (taken to court) and potentially given a criminal record for not paying their BBC licence fee. Instead, they would face civil action like a fine, similar to other money disputes. It's intended to protect elderly people from serious criminal consequences."
313,"This bill would remove the threat of criminal charges against people aged 75 and over who don't pay their BBC television licence fee. Currently, non-payment can lead to court cases and fines; this bill would stop that happening specifically for older people in this age group."
314,"This bill removes the criminal penalties for non-payment of BBC television licence fees specifically for people aged 75 and over. Currently, failure to pay the licence fee can result in prosecution and criminal conviction, with potential fines up to £1,000. Under this bill, over-75s who don't pay would no longer face criminal charges, though civil enforcement mechanisms might still apply. The measure aims to prevent elderly people from entering the criminal justice system due to licence fee debt."
316,This bill would change the BBC from a publicly-owned broadcaster (funded by TV licence fees paid by viewers) into a private company or companies that operate for profit. It represents a major shift in how British broadcasting is organised and funded.
317,This bill proposes changing the BBC from a publicly-owned broadcaster (funded by TV licences) into a private company that would need to make its own money through advertising and subscriptions. It would fundamentally change how the BBC operates and is paid for.
318,"This bill would transform the BBC from a state-owned broadcaster funded by TV licences into a private company. It would fundamentally change how the BBC operates, is funded, and serves the British public."
337,"This bill aims to improve bereavement support services specifically for children and young people who have experienced the death of a parent, sibling, or other close person. It likely establishes or strengthens access to counselling, mental health services, and practical support through schools, NHS services, and community organisations. The bill recognises that children and young people have distinct bereavement needs that differ from adults and require tailored, age-appropriate interventions. The measures probably include funding commitments, training requirements for professionals, and coordination between education and health services."
338,"This bill would change the rules around gaming machines in betting shops. Category B2 machines are mid-level gaming terminals that allow people to gamble money. The bill would likely allow betting shops to have more of these machines, which they currently cannot do under existing regulations."
340,"This Act protects the traditional rights and privileges of Beverley Freemen - a group with historical status in Beverley, East Yorkshire. It ensures they keep their long-established freedoms, which typically include things like the right to graze animals on common land or trade without certain restrictions."
341,This bill proposes to legally require children to wear safety helmets when riding bicycles. It aims to protect young cyclists from serious injury by making helmet-wearing a requirement rather than just a recommendation.
342,"This bill would allow juries in Wales to use the Welsh language during court cases. Currently, jury trials in Wales must be conducted in English. The bill would give Welsh speakers the option to use their language, making the courts more inclusive for Welsh-speaking people in Wales."
345,"The Biodiversity Beyond National Jurisdiction Act 2026 enables the UK to ratify and implement an international agreement protecting marine life in ocean areas beyond any nation's control (international waters covering about half the world's oceans). The bill creates legal mechanisms for the UK to participate in a global framework that establishes marine protected areas, requires environmental impact assessments for ocean activities, and enables benefit-sharing from marine genetic resources. It effectively gives the UK a voice in governing and conserving the high seas while committing to enforceable conservation standards."
356,"The Borders, Citizenship and Immigration Act 2009 reformed UK immigration law by introducing a points-based system to manage skilled migration, strengthening border controls, and changing citizenship requirements. It gave the UK Border Agency enhanced powers to enforce immigration rules, introduced biometric technology for identity verification, and made it harder to obtain British citizenship by increasing residency requirements and introducing citizenship tests. The Act aimed to create a more selective immigration system that prioritises skilled workers while maintaining stricter security and identity controls."
366,"The Breast Cancer Screening (Review) Bill requires the government to conduct a comprehensive review of the NHS breast cancer screening programme, examining its current effectiveness, scope, and delivery. The review would assess whether screening guidelines (particularly age ranges and frequency) remain evidence-based and whether the programme is reaching all eligible women equitably. The bill aims to ensure screening recommendations reflect the latest medical research and address any gaps in access or uptake across different communities."
367,"This bill would change NHS policy to make breast cancer screening available to women under 40. Currently, the NHS mainly screens women aged 50-74, so this bill would extend that programme to include younger women."
368,"This bill focuses on breast cancer screening - the regular checks that help detect breast cancer early in women. It likely aims to improve, expand, or change how these screening services are delivered across the UK's NHS."
375,"This bill proposes to privatise the BBC, selling it from public ownership to private owners rather than keeping it as a publicly-funded service. Currently, the BBC is funded by TV licence fees paid by UK households. Under privatisation, it would operate as a private company, likely funded differently, such as through subscriptions or advertising."
376,"This bill proposes to privatise the BBC - changing it from a public service funded by TV licence fees into a private company. Currently, the BBC is owned by the public and funded by mandatory TV licence payments; this bill would end that arrangement and allow private ownership instead."
377,"This bill would end the BBC's status as a publicly-owned broadcaster and turn it into a private company or companies instead. Currently, the BBC is funded by TV licence fees paid by households and operates as a public service; this bill would change that system entirely."
378,"This bill would end the BBC's status as a publicly-owned broadcaster and convert it into a privately-owned company. The government would sell the BBC to private investors or a commercial operator, replacing the current licence fee system (where UK households pay an annual charge) with a different funding model. The bill fundamentally changes how the BBC operates, from a public service accountable to Parliament to a private enterprise accountable to shareholders."
391,"This bill aims to help British victims of terrorism get financial compensation by allowing the government to freeze money and assets belonging to terrorists or terror-linked groups, then use that money to pay victims. It's designed to make sure terrorists' wealth can't be kept and used, while helping those who have suffered from attacks."
392,"The British-Made Bricks (Proposals) Bill would establish new measures to support and promote the production of bricks manufactured within the United Kingdom. The bill likely includes provisions to define what qualifies as 'British-made,' set standards for domestic brick production, and potentially provide incentives or preferential treatment for British brick manufacturers in public procurement. It aims to strengthen the domestic brick industry and reduce reliance on imported bricks for construction projects."
395,"This bill keeps certain major sporting events on free-to-watch TV channels in the UK rather than allowing them to be shown only on paid subscription services. It creates a 'listed events' system so that famous competitions must include free coverage that all UK households can access, even if other channels also show the full event on subscription platforms."
400,"This bill would abolish the television licence fee - the annual charge that UK households must currently pay to watch live TV or use BBC iPlayer. Instead of this system, the BBC and other broadcasters would need to find different ways to pay for their services, such as advertising or subscription fees."
402,"This bill would abolish the television licence fee - the annual charge that UK households must pay to watch live TV and access BBC services. Instead of the current system where everyone pays a fee, the BBC would need to find other ways to fund itself, such as through subscriptions or government grants."
406,"The Budget Responsibility Act 2024 establishes stronger mechanisms for monitoring government spending and requiring Parliament to review long-term fiscal sustainability. The bill aims to create independent oversight of budget forecasts and spending plans, potentially including new reporting requirements on public debt trajectories. It seeks to ensure greater transparency around how government finances are managed and to prevent unsustainable spending commitments that could burden future generations. The legislation reflects concerns about maintaining fiscal discipline while managing competing demands for public services."
412,This bill asks the government to carry out a formal review of the Building Regulations - the set of rules that builders and architects must follow when constructing buildings. The review will look at whether these regulations are still fit for purpose and whether they need updating for modern times.
414,"The Building Safety Act 2022 introduces tougher safety standards and oversight for high-rise residential buildings in England. It requires better quality control during construction, regular inspections, and clearer responsibility for keeping buildings safe, particularly in response to fires like the Grenfell Tower tragedy."
422,"This bill proposes to set maximum working hours for bus drivers who work on local routes (buses that stop regularly in towns and cities, rather than long-distance coaches). It aims to protect drivers' health and wellbeing by preventing them from working excessive hours."
430,"This bill aims to require buses in the UK to become zero-emission vehicles, likely electric. It's designed to reduce air pollution from buses, which are used by millions of people daily, and help the UK meet its climate change goals."
431,"The Business and Planning Act 2020 is a temporary law that relaxes rules for businesses to use public outdoor spaces (like streets and pavements) for things like outdoor seating and serving food and drink. It was designed to help shops, cafes and restaurants operate during and after the COVID-19 pandemic by removing bureaucratic obstacles."
435,"This bill proposes creating a new 'Business of the House Commission' - a committee that would help organize and manage how Parliament conducts its business, such as planning debate schedules and coordinating parliamentary activities. It's designed to make Parliament more efficient and better organized."
439,"This bill requires the government to report to Parliament regularly about cancer research funding - how much money is being spent, where it's going, and what progress is being made. It's designed to make cancer research funding more transparent and accountable to MPs and taxpayers."
450,This bill gives the government and local councils new powers to regulate caravan sites - including where they can be built and how they're managed. It affects both permanent caravan residents and travelling communities who live in caravans.
451,"This bill changes the laws controlling caravan sites across the UK. It likely deals with things like safety standards, how sites should be managed, residents' rights, or planning rules - but without more details about the specific proposals, the exact impact isn't clear from the title alone."
458,"This bill sets legally binding targets to reduce carbon emissions from buildings in the UK, requiring the construction and property sector to achieve net zero emissions by a specified date. It establishes requirements for new buildings to meet strict energy efficiency standards and places obligations on owners of existing buildings to retrofit them with low-carbon heating systems, improved insulation, and renewable energy sources. The bill creates enforcement mechanisms and reporting requirements to track progress toward these targets, with financial penalties for non-compliance. It aims to decarbonise buildings, which account for approximately 25% of UK carbon emissions."
470,"This bill aims to create an official identification system for carers - people who look after elderly relatives, disabled family members, or seriously ill friends without being paid. The ID would help carers prove their status to get access to benefits, discounts, and services designed to support them."
483,"This bill requires ceramic products (like plates, bowls, and pottery) sold in the UK to have a clear label showing where they were made. It aims to help shoppers know if they're buying British-made ceramics or imports, and to support the UK ceramic industry."
500,This Act makes changes to the rules and powers around the Channel Tunnel Rail Link rail project. It adjusts legal arrangements and gives authorities additional powers needed to complete and manage the high-speed rail connection between London and the Channel Tunnel.
511,"This bill updates the laws about cheques in the UK. Cheques are old-fashioned payment methods, and the bill probably changes how banks handle them, who can use them, or how long they're valid for. The changes aim to reflect how payment methods have modernised."
527,"This bill would require the UK government to set a legal target for reducing child poverty and regularly report on whether they're meeting it. It aims to make tackling child poverty a legal requirement rather than just an optional goal, forcing lawmakers to take measurable action to help children in low-income families."
528,"This bill proposes to remove the two-child limit from the Universal Credit and Child Tax Credit systems, which currently restricts benefit payments to the first two children in a household. Under current rules, families receive no additional support from these benefits for a third child or beyond, regardless of financial need. If passed, the bill would allow all children in a household to qualify for their full entitlement to these benefits. The measure aims to reduce child poverty by increasing financial support to larger families."
532,"This Act strengthens the rules and powers used to make parents pay child support they legally owe. It gives authorities better tools to collect payments from parents who aren't paying, including potentially stronger penalties for non-payment, to ensure children get financial support from both their parents."
535,"The Childcare Act 2016 provides government-funded free childcare hours for eligible young children in England. It aims to help working parents afford childcare by offering 30 hours per week of free care for children aged 3-4, making it easier for parents to balance work and family life."
537,"The Childcare Payments Act 2014 allows the government to offer financial help to working parents to pay for childcare. It does this through tax-free childcare accounts where parents can save money to spend on approved childcare, reducing the cost of looking after their children while they work."
550,This bill aims to make the law clearer about who is responsible for looking after children who are in the care system (rather than with their parents). It would set out better rules about custody and decision-making to protect these vulnerable children and make sure they're properly cared for.
562,"The Children's Hospices (Funding) Bill establishes a dedicated, sustainable funding mechanism for children's hospices across the UK. These services provide specialist care for children with life-limiting conditions and support for their families. The bill likely commits government funding to ensure hospices can maintain and expand services without relying solely on charitable donations. This addresses a significant gap in healthcare provision for some of the most vulnerable children and their families."
570,"This bill aims to set up 'Citizens' Conventions' - groups of randomly selected members of the public who would meet to discuss and debate important policy issues, then provide recommendations to Parliament. It's designed to give ordinary people a direct say in how the country is run, beyond just voting in elections."
583,This bill would allow Civil Enforcement Officers (who handle parking and other civil breaches) and Traffic Wardens (who manage traffic flow and parking) to have their roles combined into one position in England. The aim is to make local enforcement simpler and potentially more cost-effective by having fewer separate job types.
584,"The Civil Liability Act 2018 changes the rules for personal injury claims (like car accident or slip-and-fall cases) in UK courts. It makes it tougher to win compensation by increasing the threshold of injury needed to claim, and it reduces the amounts people can receive, particularly for whiplash injuries."
585,"This bill proposes to make changes to the Civil Partnership Act 2004, which is the law that allows same-sex couples to have their relationships legally recognized. The bill is at the 2nd reading stage, where MPs debate whether the proposed changes are a good idea before voting on them."
586,"This bill proposes to update the Civil Partnership Act 2004, which is the law that lets same-sex couples (and now different-sex couples) enter into a legal partnership similar to marriage. The amendment would change some of the rules around civil partnerships, though the exact changes aren't specified in this basic information."
587,"This bill proposes changes to the Civil Partnership Act 2004, which is the law that lets same-sex couples form official legal partnerships with similar rights to marriage. The amendment would modify parts of this law, though the specific details of the changes would become clearer as the bill progresses through Parliament."
588,"This bill would change the law to allow opposite-sex couples to enter into civil partnerships, which currently are only available to same-sex couples. Civil partnerships provide similar legal rights and responsibilities to marriage but are a different legal status. The bill essentially extends this option to everyone, not just same-sex couples."
590,"This Act updates and modernises the laws about how civil partnerships (legal unions for same-sex couples), marriages, and deaths are officially registered in the UK. It makes changes to the registration process to reflect modern practices and hopefully simplify the system for ordinary people."
591,"This bill aims to set up a 'Code of Practice' - a set of official guidelines that companies must follow when removing or replacing dangerous cladding from buildings. Cladding is the outer material on buildings, and some types are unsafe, so this bill would make sure the repair work is done to a proper standard."
605,"This bill amends the Clean Neighbourhoods and Environment Act 2005 to strengthen local authorities' powers to tackle environmental crime and anti-social behaviour. It introduces new enforcement measures allowing councils to issue fixed penalties for littering, fly-posting, and graffiti offences, and expands their ability to prosecute environmental violations more efficiently. The amendments aim to improve local environmental standards and give councils more tools to maintain cleaner public spaces without requiring full court proceedings for minor offences."
610,"The Climate and Nature Bill is legislation designed to strengthen the UK's legal framework for meeting climate targets and protecting biodiversity. It establishes binding commitments to reduce greenhouse gas emissions to net-zero by 2050 and sets intermediate targets for 2030 and 2035. The bill also requires the government to implement nature recovery programmes, restore habitats, and monitor environmental outcomes through new enforcement mechanisms and statutory duties on public bodies."
612,The Climate Change Act 2008 is a law that requires the UK government to cut greenhouse gas emissions (pollution that causes global warming) by at least 80% by 2050. It sets five-year targets to track progress and creates an independent committee to advise the government on whether it's meeting its climate goals.
621,"This bill would establish a dedicated Climate Finance Fund to redirect money away from fossil fuel subsidies and pollution-related spending toward climate action and clean energy investment. The fund would be financed by removing or reducing government financial support for oil, gas, and coal industries, and by reallocating money currently spent managing pollution-related health and environmental costs. The bill aims to accelerate the UK's transition to renewable energy while reducing the hidden costs of fossil fuel dependence on the NHS, environment, and economy."
622,This bill aims to increase the use of CCTV cameras in the UK and promote their installation in public and private spaces. It would give the government powers to encourage monitoring through closed-circuit television as a method to combat crime and improve public safety.
623,"This bill establishes a framework for the expanded use and regulation of CCTV (closed-circuit television) systems across the UK. It aims to standardise monitoring practices, set requirements for how CCTV footage is stored and accessed, and promote investment in camera technology for public spaces, transport hubs, and potentially private premises. The bill creates oversight mechanisms to balance security benefits with privacy protections, and may include incentives for councils or businesses to install systems. It essentially creates clearer rules for who can use CCTV, how, and for what purposes."
